participant	task	session	sequenceNumber	stimulus	response	reactionTime	interstimulusInterval	stepA	stepB	correctResponse	wasResponsecorrect
6	identification	1	31	step3	i	0.477025032	NA	NA	NA	NA	NA
6	identification	1	32	step4	i	0.74180603	NA	NA	NA	NA	NA
6	identification	1	33	step5	_	0.817983866	NA	NA	NA	NA	NA
6	identification	1	34	step6	_	0.42064786	NA	NA	NA	NA	NA
6	identification	1	35	step7	_	0.985677004	NA	NA	NA	NA	NA
6	identification	1	36	step1	i	0.788635015	NA	NA	NA	NA	NA
6	identification	1	37	step2	i	0.705477238	NA	NA	NA	NA	NA
6	identification	1	38	step3	i	0.301729202	NA	NA	NA	NA	NA
6	identification	1	39	step4	i	0.427505016	NA	NA	NA	NA	NA
6	identification	1	40	step5	_	0.598896027	NA	NA	NA	NA	NA
6	identification	1	41	step6	_	1.064200878	NA	NA	NA	NA	NA
6	identification	1	42	step7	_	0.444624186	NA	NA	NA	NA	NA
6	identification	1	43	step1	i	0.297465086	NA	NA	NA	NA	NA
6	identification	1	44	step2	i	0.526082039	NA	NA	NA	NA	NA
6	identification	1	45	step3	i	0.418289185	NA	NA	NA	NA	NA
6	identification	1	46	step4	i	0.399439096	NA	NA	NA	NA	NA
6	identification	1	47	step5	_	0.404330969	NA	NA	NA	NA	NA
6	identification	1	48	step6	_	0.376852989	NA	NA	NA	NA	NA
6	identification	1	49	step7	_	0.532084942	NA	NA	NA	NA	NA
6	identification	1	50	step1	i	0.076144218	NA	NA	NA	NA	NA
6	identification	1	51	step2	i	0.383222103	NA	NA	NA	NA	NA
6	identification	1	52	step3	i	0.227788925	NA	NA	NA	NA	NA
6	identification	1	53	step4	i	0.217903852	NA	NA	NA	NA	NA
6	identification	1	54	step5	_	0.348517179	NA	NA	NA	NA	NA
6	identification	1	55	step6	_	0.759287119	NA	NA	NA	NA	NA
6	identification	1	56	step7	_	0.417192936	NA	NA	NA	NA	NA
6	identification	1	57	step1	i	0.319225073	NA	NA	NA	NA	NA
6	identification	1	58	step2	i	0.304121256	NA	NA	NA	NA	NA
6	identification	1	59	step3	i	0.296058178	NA	NA	NA	NA	NA
6	identification	1	60	step4	i	0.222397089	NA	NA	NA	NA	NA
6	identification	1	61	step5	_	0.377425909	NA	NA	NA	NA	NA
6	identification	1	62	step6	_	0.366727352	NA	NA	NA	NA	NA
6	identification	1	63	step7	_	0.444159985	NA	NA	NA	NA	NA
6	identification	1	64	step1	i	0.262648821	NA	NA	NA	NA	NA
6	identification	1	65	step2	i	0.638573885	NA	NA	NA	NA	NA
6	identification	1	66	step3	i	0.564387798	NA	NA	NA	NA	NA
6	identification	1	67	step4	i	0.823738098	NA	NA	NA	NA	NA
6	identification	1	68	step5	_	0.583413839	NA	NA	NA	NA	NA
6	identification	1	69	step6	_	0.510112762	NA	NA	NA	NA	NA
6	identification	1	70	step7	_	1.006042242	NA	NA	NA	NA	NA
7	discrimination	1	1	"step1,silence1000,step1"	same	1.575047029	1000	step1	step1	same	yes
7	discrimination	1	2	"step1,silence1000,step3"	same	0.38742897	1000	step1	step3	different	no
7	discrimination	1	3	"step1,silence2000,step1"	same	2.487895095	2000	step1	step1	same	yes
7	discrimination	1	4	"step1,silence2000,step3"	same	0.761846103	2000	step1	step3	different	no
7	discrimination	1	5	"step1,silence250,step1"	same	0.422263059	250	step1	step1	same	yes
7	discrimination	1	6	"step1,silence250,step3"	same	2.508611987	250	step1	step3	different	no
7	discrimination	1	7	"step1,silence500,step1"	same	0.378999099	500	step1	step1	same	yes
7	discrimination	1	8	"step1,silence500,step3"	same	0.887094056	500	step1	step3	different	no
7	discrimination	1	9	"step1,step1"	same	0.739921981	0	step1	step1	same	yes
